text,label
"The author finishes it with this because spring time is a new beginning. Since Saeng failed the test she wants to start over in the spring like the flowers do. To know that the hibiscus will grow back though now it is dying. For spring to come is a time to start a new, where babies are born, flowers are at blom and a new beggening is forming",0
"The author concluded the story with this paragraph heshe wanted to compare Saeng life with the plant. For example, in the story Saeng had just failed her driving test and then she saw a plant the reminded her of homeland. From the flower shop to the house, she is comparing her home land to the flower which shows how she relates to it. So the concluding paragraph shows how when the hibiscus is budding and starts a new phase she will too and go for her drivers license.",0
"In the memoir, ""Narciso Rodriguez"" from Home: The Blueprints of Our Lives, created a mood of joy and happyness. It set this mood because he can have a nice and happy life. I think its happy that he can express his feelings to us the reader. The writer makes me feel joyful because it reminds me of what my family is like. ""My parents always had their arms and door wide open to friends and people we consired family."" My mother always has her heart and arms open to anyone who needs to be loved. It is also joyful to know that most of his family will be coming to live with him. The writer tells us about how his grandfather and grandmother will be coming to the United States when they are allowed to leave Cuba. That is the mood the memoir set of me to understand it.",0
"I believe censorship should be used in libraries to a certain extent. There are too many children that have access to inappropriate materials at the library, but some of it could be useful.     There was a time when I borrowed a movie from the public library. When I went home to watch it with my mother, it turned out to be highly inappropriate and offensive, not to mention awkward and embarassing. My mom and I couldn't believe that a person of any age could have access to a movie as inappropriate as the movie 'CAPS1'.      Although there are some materials that should not be in the library, there are some materials that could be thought of by some people to be offensive that are in the library for educational purposes. Some people think gay rights, abortion, and teenage sexual activity are offensive. There MONTH1 be some people that would like to know more about one of those things for a project at school or a problem in their personal lives. Somebody MONTH1 have a family member who believes they are homosexual, a daughter who has become sexually active, or a woman MONTH1 be thinking about recieving an abortion. What is offensive to some, MONTH1 not be offensive to others.     I believe censorship should be used for some offensive materials. If it is educational, it MONTH1 be useful to some people. There will never be a perfect answer for a problem like this in the world. As the world evolves, so does the human race's morals and there is nothing that is offensive to all the people in the world.",0
"The features of the setting in this story make the ride more difficult for the cyclist. For example, the cyclist is moving through the  high   deserts of California    (kurmaskie NUM1). This shows that the cyclist is at a high altitude, which makes breathing more difficult. Then the cyclist notes that the Flat road was replaced by short rolling hills    (Kurmaskie NUM1   ). The hills would make the trip more difficult. This is evidenced by the cyclist describing one   of them as a    long, crippling hill  (Kurmaskie NUM1 ). Clearly, the terrain, which got   increasingly difficult, negatively affected the cyclist.",0
"One day I had to go to the doctors office to get shots. When we got into the doctors office I had to wait in some uncomfortable chairs, with my dad. It was my first time getting shots, and I didnt know how it felt. Since I was little, it was harder for me to have patience, I just wanted it over with. I kept on asking my dad is the doctor coming yet, and my dad would always say patience. It got to the point when my dad was so frustrated, and he told me to go play with some toys; which I did not notice until then. But when I saw those fun toys gleaming in the sunlight I ran to them. But after a few minutes it got so boring, so I went back and sat down. It was getting so boring I couldnt take it anymore! I wanted to scream! But then I couldnt take it, I started to get so mad, wanted to just get out of there. But I didnt let my dad know, because I wanted him to think I was patient. I was about to yell as loud as I could, but then my doctor came out, and said CAPS1, and I was releved that the doctor finally came to give me shots. But what I didnt know was that I was going getin horrible pain for a few days.",0
"Some books are not suitable for kids. They could make a section for adults that includes books that are not censored. These books should not be aloud to be checked out by kids under the age of NUM1 unless their parent or guardian allows them to. Some adults don't care what there kids read but the library should. I've read books at school that were adult books at school.      Back in elementary school, I remember checking out alot of books but I don't think they were adult books. Some kids enjoy reading adult books. It helps their reading skills but the content in the book is not suitable for them.     Making a section for adults would help stop kids from reading adult material. I believe that this should take place at every library around the world.",0
"As a student at a public school, the libraries that I and many other students have access to are censored to an extent. With our library being censored I do not feel that the public library should be.          Why is censorship a conflict in need of discussion; every book found on a shelf is a part of history so every author that was good enough to get published should be able to have their book on a shelf. While school libraries are already censored for their age group; I feel that public libraries should not be censored for the plain reason that you, your gaurdian, but also the library has control over what they find age appropriate.           If disliking the book is a problem; then put it back. Find something more common towards your own interest. Some things MONTH1 be considered inappropriate as many things are, but at the same time each person has their own limits to this. While someone MONTH1 dislike a teen magazine because of how it effects youth, another MONTH1 find it inspiring. If every person found a way to rate things according to their own taste, there would be nothing left on the shelves; as Katherine Paterson expressed in her quote.          When you enter a public library; it is divided into sections according to interest, age, author, ect.. When you enter a school library it is done according to fiction, non-fiction and author. Censorship amoung public libraries is not needed. Adults, students, and childeren all go to a public library. So, as the case MONTH1 be why would you censor a library that goes for all ages. I feel that yes an CAPS1, or CAPS2 school library should not contain the same content as a CAPS3 school library. But a public library, is for the public. Hints the name.          In conclusion, if even more censorship was done to public libraries, libraries would be used less than they already are. Some of the content in public libraries can't be found in school libraries, but also adults wouldn't be able to find the content needed for their own interests, jobs, or even schooling. So as the fact MONTH1 be that some things MONTH1 seem innappropriate to certain age groups, it can help someone in a completely different age group.",0
"When I was around the age NUM1. I went to CAPS1 with my grandpa, grandma, and mom, and dad for a family reunen, we stoped so menny times I cant even count. I think it was to but I did not want to stop or be patient because I wanted to get there and see what everything looked like like it was big but the dad post was we hade to leave are dog home for a week, was in patient to get home to because as soon as I got home I was going to sleep. We got up to leave from are house at TIME1 and we got to the motel at TIME2 am the after noon I was sick of sitting in the car I did not want to get back in the car to go home because if you think of it that is long ways to white in the car. I was very impatient because if I could of gotten there in a half of a hour or a have would have been a lot better than like, NUM2 hours of time but it was a lot of fun to see new things that you have never seen befor on your way there because on are way home. I was just sleeping. But I was not very patient I was so board that every stop I would switch cars and I did not have tating at that time but I did have my CAPS2 until it died then I made my I pod and my cells all I could do was call and play games on that but I was so impatient at the coner to cuzz I rather go to the hotel and sleep than sit there lission to older people talk bout what has happened. I dont know hardly any of them I could not tell you who every one was.",0
The features of the setting affect the cyclist because the person who rode the  bike was very tired his legs and body needed a rest after riding on his bike for NUM1 miles into the pedal. Also it effected the cyclist because of all the riding he had to do struggleing to get where he was trying to get but he was a strong man and he was willing to finish his forty miles of pedaling. He was also restless but he did it.,0
